CID,SMILES
BENZO_0,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_1,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_2,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_3,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_4,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_5,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_6,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_7,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_8,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_9,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_10,O=C(Nn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_11,O=C(Nn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_12,O=C(Nn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_13,O=C(Nn1nnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_14,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCCCC3)cc2)c1
BENZO_15,Cc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_16,Cc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_17,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_18,Cc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_19,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_20,COc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_21,COc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_22,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_23,COc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_24,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_25,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_26,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_27,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_28,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_29,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_30,O=C(Nn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_31,O=C(Nn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_32,O=C(Nn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_33,O=C(Nn1nnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_34,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCOCC3)cc2)c1
BENZO_35,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_36,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_37,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_38,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_39,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_40,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_41,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_42,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_43,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_44,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_45,O=C(Nn1cnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_46,O=C(Nn1cnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_47,O=C(Nn1cnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_48,O=C(Nn1cnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_49,Cn1ccc(CN(C(=O)Nn2cnc3ccccc32)c2ccc(N3CCCCC3)cc2)c1
BENZO_50,Cc1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_51,Cc1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_52,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_53,Cc1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_54,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_55,COc1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_56,COc1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_57,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_58,COc1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_59,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_60,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_61,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_62,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_63,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_64,Cn1ccc(CN(C(=O)Nn2cnc3ccccc32)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_65,O=C(Nn1cnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_66,O=C(Nn1cnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_67,O=C(Nn1cnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_68,O=C(Nn1cnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_69,Cn1ccc(CN(C(=O)Nn2cnc3ccccc32)c2ccc(N3CCOCC3)cc2)c1
BENZO_70,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_71,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_72,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_73,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_74,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_75,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_76,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_77,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_78,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_79,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_80,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_81,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_82,O=C(Nc1n[nH]c2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_83,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_84,Cn1ccc(CN(C(=O)Nc2n[nH]c3ccccc23)c2ccc(N3CCCCC3)cc2)c1
BENZO_85,Cc1ccc(N(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_86,Cc1ccc(N(Cc2ccccc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_87,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_88,Cc1ccc(N(Cc2ccoc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_89,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_90,COc1ccc(N(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_91,COc1ccc(N(Cc2ccccc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_92,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_93,COc1ccc(N(Cc2ccoc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_94,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_95,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_96,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_97,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_98,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nc2n[nH]c3ccccc23)cc1
BENZO_99,Cn1ccc(CN(C(=O)Nc2n[nH]c3ccccc23)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_100,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_101,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_102,O=C(Nc1n[nH]c2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_103,O=C(Nc1n[nH]c2ccccc12)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_104,Cn1ccc(CN(C(=O)Nc2n[nH]c3ccccc23)c2ccc(N3CCOCC3)cc2)c1
BENZO_105,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_106,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_107,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_108,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_109,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_110,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_111,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_112,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_113,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_114,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_115,O=C(Nc1nnn2ccccc12)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_116,O=C(Nc1nnn2ccccc12)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_117,O=C(Nc1nnn2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_118,O=C(Nc1nnn2ccccc12)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_119,Cn1ccc(CN(C(=O)Nc2nnn3ccccc23)c2ccc(N3CCCCC3)cc2)c1
BENZO_120,Cc1ccc(N(Cc2ccsc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_121,Cc1ccc(N(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_122,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_123,Cc1ccc(N(Cc2ccoc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_124,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_125,COc1ccc(N(Cc2ccsc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_126,COc1ccc(N(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_127,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_128,COc1ccc(N(Cc2ccoc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_129,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_130,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_131,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_132,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_133,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nc2nnn3ccccc23)cc1
BENZO_134,Cn1ccc(CN(C(=O)Nc2nnn3ccccc23)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_135,O=C(Nc1nnn2ccccc12)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_136,O=C(Nc1nnn2ccccc12)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_137,O=C(Nc1nnn2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_138,O=C(Nc1nnn2ccccc12)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_139,Cn1ccc(CN(C(=O)Nc2nnn3ccccc23)c2ccc(N3CCOCC3)cc2)c1
BENZO_140,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_141,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_142,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_143,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_144,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_145,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_146,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_147,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_148,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_149,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_150,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_151,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_152,O=C(Nc1c[nH]c2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_153,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_154,Cn1ccc(CN(C(=O)Nc2c[nH]c3ccccc23)c2ccc(N3CCCCC3)cc2)c1
BENZO_155,Cc1ccc(N(Cc2ccsc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_156,Cc1ccc(N(Cc2ccccc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_157,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_158,Cc1ccc(N(Cc2ccoc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_159,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_160,COc1ccc(N(Cc2ccsc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_161,COc1ccc(N(Cc2ccccc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_162,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_163,COc1ccc(N(Cc2ccoc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_164,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_165,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_166,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_167,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_168,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nc2c[nH]c3ccccc23)cc1
BENZO_169,Cn1ccc(CN(C(=O)Nc2c[nH]c3ccccc23)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_170,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_171,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_172,O=C(Nc1c[nH]c2ccccc12)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_173,O=C(Nc1c[nH]c2ccccc12)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_174,Cn1ccc(CN(C(=O)Nc2c[nH]c3ccccc23)c2ccc(N3CCOCC3)cc2)c1
BENZO_175,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_176,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_177,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_178,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_179,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_180,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_181,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_182,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_183,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_184,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_185,O=C(Nc1nnc2ccccn12)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_186,O=C(Nc1nnc2ccccn12)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_187,O=C(Nc1nnc2ccccn12)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_188,O=C(Nc1nnc2ccccn12)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_189,Cn1ccc(CN(C(=O)Nc2nnc3ccccn23)c2ccc(N3CCCCC3)cc2)c1
BENZO_190,Cc1ccc(N(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_191,Cc1ccc(N(Cc2ccccc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_192,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_193,Cc1ccc(N(Cc2ccoc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_194,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_195,COc1ccc(N(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_196,COc1ccc(N(Cc2ccccc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_197,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_198,COc1ccc(N(Cc2ccoc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_199,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_200,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_201,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_202,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_203,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nc2nnc3ccccn23)cc1
BENZO_204,Cn1ccc(CN(C(=O)Nc2nnc3ccccn23)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_205,O=C(Nc1nnc2ccccn12)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_206,O=C(Nc1nnc2ccccn12)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_207,O=C(Nc1nnc2ccccn12)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_208,O=C(Nc1nnc2ccccn12)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_209,Cn1ccc(CN(C(=O)Nc2nnc3ccccn23)c2ccc(N3CCOCC3)cc2)c1
BENZO_210,CN(C)c1ccc(C(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
